schema_version,model,n,run_id,regime,initial_state,step,tau,initial_state_seed,disorder_seed,one_site_mean_vn,one_site_mean_linear,one_site_mean_logneg,one_site_mean_geometric_linear,half_vn,half_linear,half_logneg,half_geometric_linear,half_lambda_max,half_min_entropy
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,0,0,,,0,0,0,0,0,0,0,0,1,-0
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,1,0.10000000000000001,,,1,1,1,1,0.2000000000000014,0.51612903225806461,0.20000000699037859,0.5161290322580645,0.5,0.20000000000000001
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,2,0.20000000000000001,,,0.99999999999999922,0.99999999999999922,0.99999999999999978,0.99999997919424344,0.4000000000000008,0.77419354838709675,0.40000000483128889,0.77419354838709653,0.25000000000000022,0.39999999999999974
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,3,0.29999999999999999,,,0.99999999999999856,0.99999999999999845,0.99999999999999956,0.99999996082775522,0.6000000000000012,0.90322580645161277,0.60000000685465649,0.90322580645161277,0.12500000000000011,0.59999999999999976
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,4,0.40000000000000002,,,0.99999999999999878,0.99999999999999845,0.99999999999999944,0.99999996206783637,0.80000000000000104,0.967741935483871,0.80000000444034836,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,5,0.5,,,1,1,1,1,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,6,0.59999999999999998,,,0.99999999999999978,0.99999999999999956,1,0.99999999483808644,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,7,0.69999999999999996,,,1,1,1,0.99999999850988397,0.80000000000000093,0.967741935483871,0.8000000034381024,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,8,0.80000000000000004,,,1,1,1,1,0.99999999999999978,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,9,0.90000000000000002,,,0.99999999999999944,0.99999999999999922,1,0.99999999170338483,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,10,1,,,0.99999999999999944,0.99999999999999922,0.99999999999999956,0.99999997615199643,0.80000000000000038,0.967741935483871,0.80000000212089761,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,11,1.1000000000000001,,,0.99999999999999922,0.99999999999999878,0.99999999999999978,0.99999997079980685,0.99999999999999978,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,12,1.2,,,0.99999999999999878,0.99999999999999845,0.99999999999999944,0.99999996206783637,0.99999999999999978,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,13,1.3,,,0.99999999999999978,0.99999999999999956,1,0.99999999442449605,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,14,1.3999999999999999,,,1,1,1,0.99999999701976761,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,15,1.5,,,1,1,1,1,0.80000000000000049,0.967741935483871,0.80000000221547951,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,16,1.6000000000000001,,,1,1,1,1,0.6000000000000012,0.90322580645161277,0.60000000686629895,0.90322580645161277,0.12500000000000011,0.59999999999999976
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,17,1.7,,,1,1,1,1,0.40000000000000002,0.77419354838709675,0.40000000000000002,0.77419354838709675,0.25,0.40000000000000002
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,18,1.8,,,0.99999999999999978,0.99999999999999956,0.99999999999999978,0.99999998524860279,0.60000000000000153,0.90322580645161277,0.60000000779733553,0.90322580645161277,0.12500000000000011,0.59999999999999976
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,19,1.8999999999999999,,,0.79999999999999949,0.79999999999999927,0.80000000000000004,0.7999999817498793,0.80000000000000049,0.967741935483871,0.80000000202702992,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,20,2,,,0.99999999999999845,0.999999999999998,0.99999999999999922,0.99999995446970524,0.60000000000000109,0.90322580645161277,0.60000000620596528,0.90322580645161277,0.12500000000000011,0.59999999999999976
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,21,2.1000000000000001,,,1,0.99999999999999978,1,0.99999999634997605,0.80000000000000093,0.967741935483871,0.80000000397229987,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,22,2.2000000000000002,,,1,1,1,1,0.60000000000000109,0.90322580645161277,0.60000000491414229,0.90322580645161277,0.12500000000000011,0.59999999999999976
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,23,2.2999999999999998,,,1,1,1,1,0.80000000000000093,0.967741935483871,0.80000000289272111,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,24,2.3999999999999999,,,0.99999999999999978,0.99999999999999978,1,0.99999999578531518,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,25,2.5,,,0.80000000000000004,0.79999999999999982,0.79999999999999993,0.79999998956918716,0.80000000000000127,0.967741935483871,0.80000000452354136,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,26,2.6000000000000001,,,0.99999999999999978,0.99999999999999956,0.99999999999999978,0.99999998524860279,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,27,2.7000000000000002,,,0.99999999999999856,0.99999999999999822,0.99999999999999956,0.99999995940691222,0.80000000000000049,0.967741935483871,0.80000000279455796,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,28,2.7999999999999998,,,0.99999999999999856,0.99999999999999822,0.99999999999999944,0.99999995996049396,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,29,2.8999999999999999,,,1,1,1,1,0.80000000000000071,0.967741935483871,0.8000000033912974,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,30,3,,,1,1,1,1,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,31,3.1000000000000001,,,0.99999999999999978,0.99999999999999978,1,0.99999999552965158,1,1,1,1,0.03125,1
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,32,3.2000000000000002,,,1,1,1,1,0.80000000000000127,0.967741935483871,0.80000000458922804,0.967741935483871,0.0625,0.80000000000000004
trajectory-observations-1.0,qca,10,QCA_1,clifford_reference,neel,33,3.2999999999999998,,,1,0.99999999999999978,0.99999999999999978,0.99999998658895495,0.60000000000000253,0.90322580645161299,0.60000001082657195,0.90322580645161277,0.12500000000000011,0.59999999999999976
