n,metric_a,metric_b,raw_spearman,boundary_spearman,boundary_rmse,boundary_mae,finite_overlap,total_points
10,half_linear,half_logneg,0.9437557419653508,0.6820277744879606,0.117580139612379,0.101840441068408,39.0625,41.0
10,half_vn,half_linear,0.9790462827899208,0.7729945177163754,0.1661935661008573,0.1555359339705671,39.0625,41.0
10,half_vn,half_logneg,0.9803639666045738,0.9644298050139276,0.0920789009942839,0.0866501135531285,39.0625,41.0
12,half_linear,half_logneg,0.9436989482743412,0.6714889808253338,0.15533256481624,0.1326907929957901,47.1875,49.0
12,half_vn,half_linear,0.9835954124051663,0.7530319304328119,0.2013676786539451,0.1844788330607212,47.1875,49.0
12,half_vn,half_logneg,0.9755912137432712,0.9693215465184208,0.0878745255753551,0.0809704540183862,47.1875,49.0
14,half_linear,half_logneg,0.9522252051516388,0.7069667869416202,0.1840355229892151,0.1642270496200289,54.625,57.0
14,half_vn,half_linear,0.9766710597909716,0.7482221974517191,0.2325541622540054,0.2165421791172828,54.625,57.0
14,half_vn,half_logneg,0.9881100156233924,0.9495454132642132,0.0851253055692237,0.0784605148310857,54.625,57.0
16,half_linear,half_logneg,0.9607490855408608,0.6850350764268776,0.1982856730840442,0.1710169022229042,62.875,65.0
16,half_vn,half_linear,0.9766275375659182,0.7539408783131039,0.2538101392866305,0.2340397982537183,62.875,65.0
16,half_vn,half_logneg,0.9936507365123096,0.9476406691798206,0.0901858340097279,0.0825814351427162,62.875,65.0
18,half_linear,half_logneg,0.981081170505563,0.6704922255920547,0.2279207832697124,0.1984873347263612,70.75,73.0
18,half_vn,half_linear,0.991302752199835,0.740590039491608,0.2756183159140987,0.2524084516246155,70.75,73.0
18,half_vn,half_logneg,0.9943856388845652,0.9320456872635478,0.0888114429432503,0.0809059445186204,70.75,73.0
20,half_linear,half_logneg,0.9538229278063842,0.737460203732534,0.2438179925258223,0.2154492303433705,79.0625,81.0
20,half_vn,half_linear,0.971561059833718,0.7870879166565952,0.2961009739446253,0.2735879500190691,79.0625,81.0
20,half_vn,half_logneg,0.9932617857818122,0.921063596025952,0.0857878952781192,0.0785572862231226,79.0625,81.0
