model,step,half_lambda_max,common_mode,tau
kicked_ising,0,0.9999999999999953,,0.0
kicked_ising,1,0.868798079025888,-3.68445995562428,0.05
kicked_ising,2,0.7162569516697426,-2.470921356475001,0.1
kicked_ising,3,0.6111762054086264,-1.9274373009865156,0.1499999999999999
kicked_ising,4,0.5072132474147131,-1.4646016810736298,0.2
kicked_ising,5,0.4572108803717402,-1.1029554420775125,0.25
kicked_ising,6,0.37303194582228116,-1.0965595378143702,0.2999999999999999
kicked_ising,7,0.33314250043345084,-0.7092474448057229,0.3499999999999999
kicked_ising,8,0.2803486014647647,-0.5192718114881508,0.4
kicked_ising,9,0.23348724972952611,-0.29268779538475814,0.45
kicked_ising,10,0.19870229756428126,-0.062055200250403106,0.5
kicked_ising,11,0.17407020517664673,0.20716916830210788,0.55
kicked_ising,12,0.1472304001605247,0.42680438373275,0.5999999999999999
kicked_ising,13,0.12712727594913328,0.6996424608037313,0.65
kicked_ising,14,0.12165303992473546,0.7419294722916959,0.6999999999999998
kicked_ising,15,0.1227143022220516,0.9746067202086351,0.75
kicked_ising,16,0.11772936992582288,0.9381024799915743,0.8
kicked_ising,17,0.11821495031784544,1.0436975119344938,0.8499999999999999
kicked_ising,18,0.12483909186899791,1.0089185210594864,0.9
kicked_ising,19,0.132149180695305,1.0168848832158206,0.95
kicked_ising,20,0.14636747769703898,0.9946918679345486,1.0
kicked_ising,21,0.1558149441757547,0.9141758025695885,1.05
kicked_ising,22,0.17367135345300888,0.9041533321500221,1.1
kicked_ising,23,0.19038933112433795,0.8058117012417687,1.15
kicked_ising,24,0.19415923822072909,0.7935583492186631,1.2
kicked_ising,25,0.1853581094065193,0.911686212098348,1.25
kicked_ising,26,0.1801542171211921,0.8788559732519203,1.3
kicked_ising,27,0.1637906098296154,0.8952440006915138,1.35
kicked_ising,28,0.15065567827903345,0.9152344723433414,1.4
kicked_ising,29,0.13661291826315197,0.9972871987953816,1.45
kicked_ising,30,0.11555662669392873,1.0297870042113264,1.5
kicked_ising,31,0.10160687335597288,1.1675342129837811,1.55
kicked_ising,32,0.09216136853300652,1.245686604405773,1.6
kicked_ising,33,0.08015869463406328,1.3111065296128157,1.65
kicked_ising,34,0.07957520657907459,1.3636875179936507,1.7
kicked_ising,35,0.07724927776432625,1.3190539008902338,1.75
kicked_ising,36,0.08210193634544317,1.441755916470497,1.8
kicked_ising,37,0.08138447703706177,1.4116501337509655,1.85
kicked_ising,38,0.08764400367474598,1.3692408523233062,1.9
kicked_ising,39,0.09663746262976462,1.2915633613016757,1.95
kicked_ising,40,0.10516539830387388,1.2340238239488408,2.0
kicked_ising,41,0.11468587100243942,1.1674675843217606,2.05
kicked_ising,42,0.12965233814297558,1.0797253041066115,2.1
kicked_ising,43,0.1473957004293768,1.0358846656589717,2.15
kicked_ising,44,0.16600500967304976,1.0065831561459664,2.2
kicked_ising,45,0.17904249619578788,0.881651126428225,2.25
kicked_ising,46,0.20226464682948234,0.7988313750412749,2.3
kicked_ising,47,0.22006084230658307,0.7809204957199486,2.35
kicked_ising,48,0.2237126098341094,0.7740114491381083,2.4
kicked_ising,49,0.2082982871041985,0.730854469302989,2.45
kicked_ising,50,0.2108511212939332,0.812939722464725,2.5
kicked_ising,51,0.20614689320355387,0.864423172170586,2.55
kicked_ising,52,0.19624449252037723,0.9509046834277127,2.6
kicked_ising,53,0.18017315868299696,0.9063947174375967,2.65
kicked_ising,54,0.16590909937441742,0.9980658187476323,2.7
kicked_ising,55,0.1486796341840777,1.022911963887575,2.75
kicked_ising,56,0.13819350266227357,1.063997033168354,2.8
kicked_ising,57,0.1183627231915706,1.0863685888397094,2.85
kicked_ising,58,0.1058159617727221,1.1264344246780287,2.9
